"corruption","crime_US_weight","deport_convict","deport_convict_d","deport_convict_lead","deport_nonconvict","deport_nonconvict_d","GDP_growth","GDPpercapita_const2010USD_log","gini_mkt","homrates_unodc","homrates_who","income_group","instr_benef_medicaidpregn_lag1","instr_enforce_everify_lag1","iso3","polity2","pop_sh14","population_log","region","remittances_GDP","urban_interp","war_intrastate","year","yr_sch"
NA,405.845476419634,0.0265489108688891,0.0013783050894434,-0.0079828167418944,NA,NA,14.43474129,6.44639802205256,35.3,5.41,NA,"Low income",0.860442733397498,0.0909528392685274,"AFG",NA,46.73910034,17.2396741197,"South Asia",1.225798941,23.3,0,2012,4.32637651208061
4,NA,NA,NA,0.00234714524897101,NA,NA,8.29999998,7.30903426817437,NA,NA,4.70503027540937,"Upper middle income",NA,NA,"ALB",5,32.73532563,14.9810135991034,"Europe & Central Asia",15.46578327,NA,0,1994,8.18283104545975
2,NA,0.142440050337058,0.00234714524897101,0.13192776425387,0.8250553513439,1.05464570988957,-10.83785574,7.42493078093164,45.5,NA,25.4790493427579,"Upper middle income",NA,NA,"ALB",5,31.66695818,14.9623671475599,"Europe & Central Asia",12.72509871,39.6,0,1997,8.62818616283064
2,530.675488242328,0.338575983585389,0.13192776425387,0.300299946231423,2.46972075971571,1.41883275352668,6.666620499,7.72137120190182,46,NA,10.6768254902698,"Upper middle income",NA,NA,"ALB",5,30.26323123,14.9433667125553,"Europe & Central Asia",16.45905212,41.7,0,2000,9.48
2,484.955001992826,0.443520743897571,0.300299946231423,0.510042049632556,3.56436967553035,1.55913186726065,5.773490561,7.91147727004972,46.3,NA,6.2704194835242,"Upper middle income",0.647668393782383,0,"ALB",7,28.0905688,14.9272417496144,"Europe & Central Asia",15.4647111,44.6,0,2003,9.82601857780831
1,487.787166201674,1.06596060049811,0.510042049632556,0.36533868797423,7.06282963367325,2.97604444979541,5.431012739,8.09112701767682,46.5,4.055,0,"Upper middle income",0.775607811877242,0,"ALB",9,25.54768949,14.9116354222224,"Europe & Central Asia",15.1176923,47.8,0,2006,9.84940052673766
1.5,436.029174970108,1.29412731940129,0.36533868797423,-0.15897623753597,9.37663023598602,1.32469154241101,3.350000009,8.27597243454926,46.7,3.015,1.42502631209298,"Upper middle income",0.76843363889996,0.00836986847349542,"ALB",9,23.16201625,14.8896658646123,"Europe & Central Asia",14.25788479,50.9,0,2009,9.88780052673766
2,400.45667596652,1.27463313772632,-0.15897623753597,-0.546696949884968,3.59913819239617,-6.09043935759467,1.419999998,8.36098751720031,46.7,5.185,NA,"Upper middle income",0.805500199282583,0.0414507772020725,"ALB",9,20.47078823,14.8803595612595,"Europe & Central Asia",11.52633771,53.8,0,2012,10.0872981564182
2,NA,0.762541645136017,-0.546696949884968,NA,0.745134300089675,-1.92628811084634,2.590000005,8.4222512004021,NA,3.165,NA,"Upper middle income",0.809884416102033,0.34475886807493,"ALB",9,18.02687463,14.8735449195475,"Europe & Central Asia",9.236484573,56.2,0,2015,NA
2,NA,0,0,NA,NA,NA,9.837319773,10.8953790878795,NA,NA,0.628748259479465,"High income: nonOECD",NA,NA,"ARE",-8,16.71285105,15.4722197673871,"Middle East & North Africa",NA,82.7,0,2006,8.94294880567961
3,NA,0.03923534461186,0.0490735741810449,0.0260519744889327,0.0334669601292165,-0.0256468091445032,5.836200704,8.98126822521855,44.3,NA,4.37911367655806,"High income: nonOECD",NA,NA,"ARG",7,29.44328995,17.3581529575885,"Latin America & Caribbean",0.024238658,NA,0,1994,8.61731032176801
2,NA,0.0658903202570974,0.0260519744889327,0.0298023540138096,0.072752697633905,0.0740081342633417,8.111046771,9.0479320671828,46.1,NA,4.59179262679507,"High income: nonOECD",NA,NA,"ARG",7,28.62486151,17.3944068562414,"Latin America & Caribbean",0.022434004,89.3,0,1997,8.64454619031261
3,600.379859872612,0.130372641815891,0.0298023540138096,0.116547604966326,0.189528908710566,0.15282830498491,-0.788998939,9.00977579890507,47.8,NA,5.53269049654138,"High income: nonOECD",NA,NA,"ARG",8,27.98482475,17.427980023085,"Latin America & Caribbean",0.030380901,90.1,0,2000,8.73
2.5,552.128687898089,0.200659353459304,0.116547604966326,-0.00203494991839001,1.13778342033263,0.878868921550078,8.837040796,8.9007932640939,48.2,NA,7.39459660372993,"High income: nonOECD",0.503184713375796,0,"ARG",8,27.34124456,17.4612053066786,"Latin America & Caribbean",0.214300875,90.9,0,2003,9.09772010992786
2.5,536.822280254777,0.232568788255425,-0.00203494991839001,0.037354539884163,1.07821346077155,-0.210536616589281,8.0471515,9.11735992416755,45.8,NA,5.06892004385471,"High income: nonOECD",0.517707006369427,0,"ARG",8,26.74372056,17.49330100568,"Latin America & Caribbean",0.232474118,91.6,0,2006,9.49112292224894
2.5,473.845477707006,0.233909582634184,0.037354539884163,0.00149520275035298,0.798001768957263,-0.094539059260965,-5.918525076,9.15149256566898,43.3,NA,4.38907508118217,"High income: nonOECD",0.503184713375796,0.023312101910828,"ARG",8,26.05300366,17.524178104955,"Latin America & Caribbean",0.188764794,92.2,0,2009,9.58640292224894
2,412.830165605096,0.267483592640366,0.00149520275035298,-0.127717028395267,0.333536724430476,-0.584071019763322,-1.026420454,9.26462829004902,41.2,NA,4.60807688950954,"High income: nonOECD",0.596305732484076,0.0817834394904459,"ARG",8,25.57161494,17.5554808372202,"Latin America & Caribbean",0.105778682,92.8,0,2012,9.14310977212871
NA,NA,0.0121815291473539,NA,0.0777726634824793,NA,NA,5.40000279,6.86325034994345,43.2,NA,7.00738354187157,"Lower middle income",NA,NA,"ARM",7,29.53012797,15.0044692119169,"Europe & Central Asia",NA,NA,0,1994,10.4372531226383
NA,NA,0.0889440782538923,0.0777726634824793,0.19106323521639,NA,NA,3.321079696,7.06658368858107,46.1,NA,3.34711485803718,"Lower middle income",NA,NA,"ARM",-6,28.09945211,14.9575290192863,"Europe & Central Asia",13.96690809,65.4,0,1997,10.426448615596
2,603.576306856755,0.373208784952532,0.19106323521639,0.203850886501996,0.194646356036775,NA,5.9,7.24730951991653,46.2,NA,3.01968226826991,"Lower middle income",NA,NA,"ARM",5,25.81111863,14.9370539086031,"Europe & Central Asia",9.529371336,64.7,0,2000,10.44
1.5,563.818431771894,0.314446737814713,0.203850886501996,0.41557479736973,1.22359580582836,1.39397553916706,14.04079506,7.61084529878303,44.6,NA,2.14773146816236,"Lower middle income",0.945689069925322,0,"ARM",5,23.01075682,14.920040635263,"Europe & Central Asia",11.96482723,64.3,0,2003,10.4644503194778
1.5,526.492260692464,0.992998331275722,0.41557479736973,0.0913274685419369,2.65891847168087,0.8417776970051,13.19800352,7.98406520112769,43.2,2.275,NA,"Lower middle income",0.950441276306857,0,"ARM",5,20.93016731,14.9001929410989,"Europe & Central Asia",18.31281893,64.1,0,2006,10.527770992786
1.5,468.371045485404,1.24125987779816,0.0913274685419369,0.27991331096153,1.88171208552347,-0.0812073588670099,-14.14998864,8.05096218949447,41.7,3.265,1.91481178675188,"Lower middle income",0.946367956551256,0.00407331975560081,"ARM",5,19.63325283,14.8762769746184,"Europe & Central Asia",16.64916469,64.1,0,2009,10.663850992786
1.5,420.56805838425,1.18095421575143,0.27991331096153,NA,0.799111465004432,-1.62557428196578,7.200000003,8.19048765999796,41.7,2.285,1.6149985957994,"Lower middle income",0.960964019008825,0.0179904955872369,"ARM",5,19.46110963,14.8739679906368,"Europe & Central Asia",18.03301895,64.6,0,2012,10.8992415252491
1.5,NA,NA,NA,NA,NA,NA,2.999999997,8.27579967901557,42.5,2.425,1.23631757071885,"Lower middle income",0.963340122199593,0.0366598778004073,"ARM",5,19.84456367,14.8860491078048,"Europe & Central Asia",14.13274122,65.5,0,2015,NA
NA,NA,19.0720142299192,16.693264163578,5.0281027953546,7.75758659567986,1.20081237521775,6.676195163,9.32359670734456,NA,NA,6.34550234170096,"High income: nonOECD",NA,NA,"ATG",NA,30.50934899,11.1805109845098,"Latin America & Caribbean",2.027069547,NA,0,1994,NA
NA,581.621477428181,36.3149242561749,9.1484318123272,5.5008854331197,8.47732675828379,-3.11243765632147,6.084634973,9.38485522308495,NA,NA,1.19640122511485,"High income: nonOECD",NA,NA,"ATG",NA,29.51641462,11.333607393196,"Latin America & Caribbean",2.089113988,32.1,0,2000,NA
NA,516.625581395349,39.1879511110343,5.5008854331197,-1.2592727132784,7.48028203265443,1.98613047021289,6.110539449,9.35820637797562,NA,NA,3.46397772537549,"High income: nonOECD",0.663474692202462,0,"ATG",NA,28.77206649,11.3770255553368,"Latin America & Caribbean",1.913442304,31.2,0,2003,NA
NA,500.669630642955,32.8375596383525,-1.2592727132784,-6.6238422566253,8.35756814313453,-1.41268568194453,12.80496079,9.56228208824537,NA,8.405,2.214814896845,"High income: nonOECD",0.667578659370725,0,"ATG",NA,28.11153808,11.4109038135409,"Latin America & Caribbean",1.670322341,30.5,0,2006,NA
NA,441.303556771546,27.3956918093705,-6.6238422566253,-5.1213227204609,10.7177930377281,8.27704261531951,-12.03555504,9.48767360038896,NA,18.645,0.534296491809235,"High income: nonOECD",0.637482900136799,0.0725034199726402,"ATG",NA,27.01296203,11.4465826504071,"Latin America & Caribbean",1.687455035,30.3,0,2009,NA
